time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.015544,2.055196,-3.443583,-8.889240
0.035159,1.972593,-3.510324,-8.908544
0.068384,2.152015,-3.435203,-8.944758
0.101438,2.052802,-3.462588,-8.926950
0.135070,2.215763,-3.449868,-8.896572
0.168465,1.994142,-3.480396,-8.946553
0.201447,1.887147,-3.499550,-8.904204
0.234703,2.015541,-3.557462,-8.837613
0.268462,1.855273,-3.543695,-8.880860
0.301815,1.983966,-3.552224,-8.892981
0.336718,1.860511,-3.526186,-8.905401
0.368479,1.844050,-3.479797,-8.876371
0.401460,1.938924,-3.465880,-8.902259
0.435703,1.839710,-3.388814,-8.967952
0.468850,1.935183,-3.304864,-8.954484
0.501267,2.015990,-3.360382,-8.905551
0.535133,1.975437,-3.347513,-8.973339
0.568502,1.889990,-3.358137,-8.982168
0.601349,1.869789,-3.359634,-8.967354
0.635152,1.809632,-3.439543,-8.941316
0.670508,1.826691,-3.507930,-8.900912
0.701463,1.978878,-3.457650,-8.885200
0.735133,2.087669,-3.394501,-8.863352
0.768679,2.326798,-3.423980,-9.005064
0.801244,1.744687,-3.507930,-8.920066
0.835145,2.117597,-3.417097,-8.953138
0.867924,2.097096,-3.547885,-8.747229
0.901460,1.399311,-3.514814,-8.790476
0.935134,2.279960,-3.412458,-8.885499
0.969677,2.310786,-3.504189,-8.935779
1.001332,2.423617,-3.544592,-8.805290
1.035146,2.567424,-3.515562,-8.742590
1.068502,2.185236,-3.575269,-8.913332
1.101847,2.241352,-3.689896,-8.913482
1.134680,1.963615,-3.705608,-8.844497
1.168469,1.833725,-3.610735,-8.782844
1.201441,1.923211,-3.619713,-8.764737
1.235187,1.870238,-3.661015,-8.748725
1.268506,2.249732,-3.450467,-8.850034
1.301555,2.187481,-3.520350,-8.907945
1.335129,2.172816,-3.561652,-8.921413
1.368944,2.220552,-3.548334,-8.911387
1.401601,2.097396,-3.499400,-8.886696
1.435176,2.185984,-3.473063,-8.904055
1.468477,2.067168,-3.460044,-8.867542
1.501751,1.925605,-3.540552,-8.835069
1.535154,2.066120,-3.603851,-8.924855
1.568484,1.918722,-3.442536,-8.928297
1.601916,2.116400,-3.451515,-9.053099
1.635409,2.033049,-3.666402,-8.800502
1.668548,1.874428,-3.505236,-8.833722
1.701492,2.077792,-3.491020,-8.765785
1.735165,1.894480,-3.551775,-8.910789
1.768528,2.120141,-3.527683,-8.720443
1.801945,0.868079,-3.294539,-9.270381
1.835073,3.459146,-3.096262,-9.193913
1.868574,1.815019,-3.639316,-8.463805
1.901206,3.121253,-3.494163,-8.851530
1.935152,2.580144,-3.768159,-8.708920
1.968538,1.722540,-3.791952,-8.971544
2.001331,2.815981,-3.928127,-8.611353
2.035151,2.155307,-3.832954,-8.520969
2.068461,2.203941,-3.740774,-8.624671
2.101496,2.183889,-3.734789,-9.120738
2.135156,2.086172,-3.606245,-8.993691
2.168490,1.797661,-3.588288,-8.720892
2.201173,1.972144,-3.308007,-8.894477
2.235156,1.826841,-3.335242,-9.030054
2.268735,1.854675,-3.438196,-8.920216
2.301339,1.927102,-3.378938,-8.888641
2.335163,1.810380,-3.398541,-8.937425
2.368473,2.060284,-3.448222,-8.935180
2.401460,1.955534,-3.478301,-8.922910
2.435143,2.069712,-3.633480,-8.980223
2.468587,1.801551,-3.620162,-8.900762
2.500950,1.515584,-3.455405,-8.916325
2.535274,1.294112,-3.408717,-8.945057
2.568474,1.372226,-3.541749,-8.981719
2.601860,1.225426,-3.463785,-8.933684
2.635229,1.544016,-3.430415,-9.040529
2.668497,1.234255,-3.506882,-8.938622
2.701288,1.170956,-3.459595,-8.993840
2.735155,0.850720,-3.412308,-9.103828
2.768499,0.689854,-3.548184,-8.965708
2.801221,1.393475,-3.696181,-8.936527
2.836389,1.589358,-3.639466,-8.946853
2.868495,1.586365,-3.507331,-8.967354
2.901253,1.549702,-3.323570,-9.062078
2.935403,1.344841,-3.397344,-9.100685
2.968530,1.710569,-3.355593,-9.115051
3.001326,1.660438,-3.367715,-9.019878
3.035106,1.608213,-3.372353,-8.999826
3.068478,2.287143,-3.381482,-9.052351
3.101493,2.211723,-3.394650,-9.076892
3.135161,1.346188,-3.392406,-8.885050
3.168636,1.414874,-3.638119,-9.047562
3.201200,1.206721,-3.601008,-8.882955
3.235138,0.429026,-3.528132,-8.734360
3.268483,1.130104,-3.636174,-9.070607
3.301734,1.412180,-3.716832,-9.023919
3.335078,1.475629,-3.733891,-9.082429
3.368501,0.895613,-4.175487,-8.081617
3.401466,2.792337,-4.629953,-7.373507
3.435152,1.544465,-4.020457,-9.211122
3.468506,2.574158,-3.468724,-9.658405
3.501314,3.223908,-4.207960,-9.212169
3.534951,1.975437,-4.800995,-8.413226
3.568498,2.014643,-4.636537,-8.387487
3.601477,1.664179,-3.887424,-8.738101
3.635378,0.215486,-3.976462,-8.733911
3.668623,1.796763,-4.401298,-8.754711
3.701767,1.010688,-4.363289,-8.494033
3.734481,1.346787,-4.644917,-8.267025
3.768456,2.023173,-4.677988,-8.298001
3.801476,1.745884,-4.742035,-8.819506
3.835085,2.528517,-4.644318,-8.215847
3.868462,1.082517,-5.150561,-8.661034
3.901995,0.983603,-4.878510,-7.603657
3.935130,3.290050,-5.476633,-8.103614
3.968544,0.195883,-5.358115,-7.728160
4.001669,1.690965,-5.250821,-7.728011
4.034807,2.212471,-4.431826,-10.109279
4.068477,0.719932,-4.266320,-9.068063
4.101501,1.717003,-4.865341,-8.673604
4.135519,2.093654,-2.620996,-9.527766
4.168463,0.300184,-4.112936,-8.080719
4.201777,0.553529,-6.110520,-9.279658
4.235070,-0.335200,-5.030248,-9.452047
4.268464,0.735645,-3.473811,-8.164669
4.301715,2.372439,-3.111975,-9.858627
4.335063,1.941767,-4.409828,-9.573258
4.368468,5.315766,-9.405508,-7.311255
4.401181,5.793876,-6.389305,-8.142372
4.435129,3.618965,-3.422783,-9.000574
4.468552,2.193915,-2.715122,-9.745048
4.501220,-3.287057,-3.462588,-9.504422
4.534586,-7.497860,-1.162875,-10.434603
4.568465,-5.765144,-2.643293,-8.809181
4.602107,-1.006199,-4.572939,-8.224975
4.635120,2.089315,-8.736903,-9.124628
4.668479,4.221876,-8.092541,-5.657850
4.702111,6.599404,-4.316002,-7.663215
4.735116,5.652762,-2.504125,-8.249067
4.768368,2.487964,-3.397194,-7.585401
4.801712,1.410834,-3.702915,-10.464382
4.835015,-0.431720,-3.851361,-9.364356
4.868376,-0.831416,-2.689533,-9.421221
4.901608,1.155094,-3.696031,-8.710117
4.935032,0.159519,-4.569647,-8.990698
4.968519,-1.129206,-0.599170,-9.339216
5.001199,-8.189360,-0.318141,-10.807363
5.034323,-5.183632,3.694684,-10.701266
5.068387,2.883919,-1.918123,-9.150068
5.101175,3.748705,-2.184039,-10.519301
5.135654,-0.920304,-1.581427,-8.312965
5.168228,-3.330753,-3.949526,-7.800288
5.201394,0.910727,-2.893795,-10.641559
5.235139,2.566377,-1.409487,-7.682819
5.268432,2.857731,-5.174653,-8.915727
5.301562,0.317842,1.267027,-10.819933
5.335304,0.981957,-4.204817,-8.423850
5.368499,-0.191244,-2.684295,-10.557609
5.401481,1.600132,-2.371392,-10.218369
5.435137,0.402091,-1.951943,-7.468679
5.468947,0.768417,-3.741373,-11.389923
5.501363,0.668455,-2.253772,-7.738037
