time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
-0.012634,0.095887,-0.025826,0.050053
0.017363,0.095907,-0.029030,0.060720
0.047362,0.097997,-0.032228,0.051086
0.087335,0.095818,-0.034348,0.037185
0.127349,0.096863,-0.036481,0.032899
0.147355,0.095799,-0.035412,0.031836
0.187346,0.095745,-0.034336,0.012610
0.217345,0.094662,-0.032197,0.004074
0.267347,0.092487,-0.027918,-0.016202
0.297346,0.091383,-0.023642,-0.034343
0.327343,0.090319,-0.021507,-0.036467
0.357341,0.091448,-0.020453,-0.016161
0.387339,0.091545,-0.019403,0.014830
0.417337,0.091642,-0.017286,0.044759
0.457333,0.093832,-0.009834,0.056552
0.487350,0.090679,-0.005567,0.065124
0.517348,0.091753,-0.005571,0.068329
0.557334,0.092799,-0.003437,0.059793
0.587332,0.092769,-0.007698,0.054427
0.617331,0.090609,-0.009822,0.046937
0.657318,0.092707,-0.016221,0.043696
0.687331,0.092686,-0.019418,0.040473
0.727333,0.093747,-0.020486,0.040467
0.747324,0.093746,-0.021553,0.041529
0.787330,0.092671,-0.023682,0.040449
0.817328,0.093745,-0.024753,0.044717
0.867324,0.095857,-0.027955,0.042562
0.897320,0.099037,-0.031160,0.041475
0.927320,0.096887,-0.033285,0.037190
0.957299,0.096880,-0.034350,0.036116
0.987317,0.101132,-0.035425,0.035041
1.017315,0.097935,-0.034351,0.032910
1.047312,0.091523,-0.036466,0.027558
1.087297,0.096850,-0.030079,0.021181
1.117297,0.090464,-0.025798,0.016932
1.167304,0.089456,-0.026872,0.037227
1.197302,0.093745,-0.030086,0.051099
1.217300,0.095890,-0.031160,0.057503
1.257298,0.094831,-0.033292,0.061765
1.287296,0.094799,-0.032220,0.050018
1.317294,0.094764,-0.032214,0.038265
1.357290,0.093682,-0.029009,0.028667
1.387289,0.095813,-0.026881,0.026541
1.427285,0.093725,-0.026883,0.040432
1.467283,0.090553,-0.025813,0.046849
1.497262,0.093764,-0.024756,0.051128
1.527259,0.094823,-0.023691,0.047928
1.557251,0.094806,-0.024755,0.043648
1.587262,0.093731,-0.026884,0.042568
1.617260,0.094783,-0.026884,0.038294
1.647259,0.092650,-0.026879,0.037226
1.687252,0.093715,-0.027948,0.038289
1.737255,0.094797,-0.024753,0.040443
1.767263,0.095865,-0.024756,0.041511
1.797260,0.093732,-0.025817,0.041506
1.827258,0.096922,-0.026890,0.041499
1.857257,0.096902,-0.029020,0.037214
1.887255,0.094734,-0.029009,0.024393
1.917252,0.088333,-0.028993,0.020120
1.957231,0.097925,-0.027949,0.022261
1.987229,0.095790,-0.026877,0.019062
2.037245,0.089418,-0.026865,0.024406
2.067242,0.093712,-0.026881,0.036158
2.097240,0.101212,-0.027972,0.053245
2.127239,0.099093,-0.026902,0.055389
2.157237,0.086301,-0.025804,0.048987
2.197221,0.085245,-0.021536,0.046874
2.217232,0.090563,-0.019414,0.042610
2.257218,0.093774,-0.018357,0.046889
2.287217,0.092701,-0.020487,0.046878
2.327223,0.094829,-0.024758,0.051128
2.367199,0.094811,-0.029022,0.050036
2.387219,0.094804,-0.029021,0.047899
2.427215,0.094769,-0.030082,0.037208
2.457192,0.093692,-0.027944,0.030810
2.487194,0.092640,-0.022610,0.028702
2.517193,0.094789,-0.020485,0.032987
2.547193,0.089496,-0.017278,0.039417
2.577188,0.091648,-0.016220,0.045833
2.617204,0.091668,-0.016223,0.052244
2.667201,0.091666,-0.013023,0.047987
2.697180,0.092722,-0.011957,0.043719
2.727178,0.090582,-0.013017,0.041577
2.757183,0.091647,-0.013020,0.041577
2.797192,0.094845,-0.017294,0.047963
2.827190,0.093769,-0.020490,0.047946
2.857188,0.094813,-0.024756,0.045785
2.887184,0.095857,-0.027955,0.042562
2.927182,0.095830,-0.031150,0.037202
2.967180,0.094738,-0.033277,0.030780
2.997178,0.093677,-0.033275,0.031849
3.027172,0.094755,-0.031146,0.033997
3.057174,0.094765,-0.030081,0.036140
3.087172,0.093724,-0.027949,0.041494
3.117171,0.094786,-0.027951,0.040425
3.157167,0.094796,-0.025820,0.041506
3.187150,0.092671,-0.023682,0.040449
3.237160,0.092685,-0.021551,0.042598
3.267135,0.094822,-0.019424,0.042609
3.297131,0.091628,-0.018350,0.041547
3.327153,0.090574,-0.016216,0.042628
3.357152,0.092710,-0.015155,0.043702
3.387140,0.092710,-0.015155,0.043702
3.427149,0.091649,-0.015153,0.044770
3.457147,0.091646,-0.015153,0.043702
3.487120,0.093778,-0.016225,0.045832
3.517142,0.092709,-0.017288,0.045827
3.567120,0.095885,-0.022626,0.045797
3.587140,0.092681,-0.023684,0.043655
3.617127,0.093720,-0.029015,0.041488
3.647132,0.094774,-0.031149,0.040408
3.687122,0.096866,-0.036481,0.033967
3.727128,0.096849,-0.038612,0.030750
3.757127,0.095782,-0.036476,0.027557
3.787123,0.095793,-0.034344,0.028637
3.827109,0.094753,-0.030079,0.031866
3.867117,0.093728,-0.025817,0.040437
3.897116,0.093756,-0.021555,0.044735
3.927115,0.093767,-0.019423,0.045815
3.957113,0.092709,-0.018355,0.046889
3.987110,0.092723,-0.016224,0.049038
4.017108,0.092719,-0.017290,0.049032
4.057105,0.093771,-0.023690,0.052202
4.087083,0.096949,-0.030095,0.054303
4.117094,0.097977,-0.040758,0.054244
4.157098,0.097906,-0.054613,0.046689
4.197096,0.101000,-0.068471,0.029517
4.227094,0.103062,-0.075931,0.015585
4.257092,0.105137,-0.083393,0.005927
4.287089,0.104040,-0.089786,0.002687
4.327087,0.107216,-0.101523,0.010101
4.357085,0.108316,-0.106865,0.028235
4.387082,0.102011,-0.124998,0.077287
4.427054,0.140779,-0.132624,0.232163
4.467053,0.078405,-0.099315,-0.013386
4.497052,0.115139,-0.115310,-0.172684
4.527050,0.118308,-0.139847,-0.152519
4.557049,0.131732,-0.212518,0.148385
4.587042,0.174831,-0.280967,0.398020
4.617068,0.165589,-0.302336,0.536805
4.647044,0.228545,-0.284366,0.561463
4.687061,0.139676,-0.247818,0.353335
4.717054,0.121218,-0.201850,0.180501
4.767057,0.119940,-0.117544,0.011078
4.797055,0.110162,-0.098289,-0.076427
4.817052,0.095201,-0.092913,-0.100969
4.857050,0.099435,-0.072652,-0.132913
4.897025,0.094383,-0.078018,-0.035711
4.927023,0.109581,-0.089834,0.075341
4.957040,0.129892,-0.105893,0.121192
4.987013,0.126841,-0.115510,0.179905
5.037038,0.139764,-0.129430,0.245002
5.067037,0.135522,-0.132624,0.254602
5.087033,0.150455,-0.136928,0.268464
5.117031,0.116253,-0.136830,0.224666
5.157030,0.016239,-0.070482,0.171631
5.187028,0.101326,-0.042925,0.108723
5.217026,0.051098,-0.012914,0.011670
5.247024,0.113934,-0.022658,0.028697
5.277019,0.089489,-0.019410,0.039405
5.316993,0.097099,-0.036520,0.111965
5.366986,0.124772,-0.064315,0.140654
5.396984,0.123803,-0.063262,0.171646
5.426983,0.117414,-0.058980,0.166328
5.456982,0.132397,-0.025959,0.153685
5.487007,0.054652,0.016886,0.097310
5.517031,0.030445,0.134230,0.055222
5.547028,0.031542,0.096888,0.109508
5.587024,0.084222,0.056327,-0.029627
5.627022,0.053100,0.091463,0.203498
5.657020,0.092558,0.057230,0.264203
5.687019,0.073745,0.039256,0.047211
5.727016,0.106682,-0.030142,0.104518
5.757014,0.093157,-0.138965,0.336849
