time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.023187,-0.646458,-3.561502,-9.098590
0.056829,-0.587199,-3.524091,-9.095448
0.090092,-0.538415,-3.496856,-9.096645
0.123594,-0.656334,-3.408717,-9.157550
0.156970,-0.677134,-3.404078,-9.129417
0.190301,-0.691201,-3.404227,-9.120139
0.223141,-0.653640,-3.398242,-9.123282
0.256870,-0.562807,-3.448821,-9.129866
0.290269,-0.517316,-3.474111,-9.110113
0.323582,-0.392513,-3.551027,-9.089313
0.356852,-0.284920,-3.619115,-9.079586
0.390167,-0.151738,-3.709200,-9.053099
0.423263,-0.099662,-3.724463,-9.057139
0.456849,-0.101009,-3.736135,-9.053249
0.490200,-0.154432,-3.677475,-9.064023
0.523240,-0.264120,-3.613279,-9.074348
0.556848,-0.368271,-3.569882,-9.090809
0.590185,-0.549938,-3.488027,-9.106522
0.623428,-0.624909,-3.431911,-9.103828
0.657173,-0.702574,-3.376543,-9.120438
0.690215,-0.759438,-3.354396,-9.136450
0.722848,-0.834409,-3.335242,-9.094999
0.756781,-0.836504,-3.341677,-9.302255
0.790183,-0.924793,-3.388365,-9.094999
0.823656,-0.812860,-3.308905,-9.095598
0.856897,-0.760485,-3.377890,-9.124628
0.890183,-0.500256,-3.482341,-9.078838
0.923733,0.130040,-3.718478,-8.952090
0.956787,0.148147,-3.935011,-8.910639
0.990139,-0.142310,-3.896253,-8.922161
1.023144,-0.018705,-3.716682,-9.200048
1.056940,-0.264569,-3.626896,-9.036339
1.090213,-0.392813,-3.552673,-9.084524
1.123308,-0.263521,-3.685556,-9.068213
1.157036,-0.464043,-3.504787,-9.119989
1.190216,-0.412266,-3.471118,-9.123431
1.223404,-0.710654,-3.364422,-9.126723
1.256792,-0.951879,-3.291247,-9.116398
1.290067,-0.824233,-3.269848,-9.171915
1.323488,-1.128308,-3.155371,-9.161291
1.356802,-1.101222,-3.160908,-9.197654
1.390065,-0.946192,-3.234083,-9.182690
1.423341,-1.040318,-3.314142,-9.123282
1.456810,-0.909231,-3.399738,-9.126574
1.490136,-0.786823,-3.430864,-9.111759
1.523488,-0.783231,-3.437448,-9.108916
1.556753,-0.638826,-3.485932,-9.093353
1.590066,-0.589294,-3.551626,-9.088415
1.622835,-0.525995,-3.640813,-9.050705
1.656737,-0.463444,-3.596369,-9.075845
1.690082,-0.405981,-3.605946,-9.096196
1.723102,-0.402689,-3.658920,-9.052201
1.756767,-0.442195,-3.603253,-9.079436
1.790158,-0.703621,-3.605198,-9.030054
1.823733,-0.748664,-3.454058,-9.087517
1.856796,-0.900551,-3.345418,-9.150816
1.890173,-0.891722,-3.297083,-9.138994
1.923142,-0.818697,-3.277779,-9.174310
1.957154,-0.617427,-3.321624,-9.151863
1.990192,-0.484394,-3.373850,-9.167127
2.022902,-0.419449,-3.437598,-9.126125
2.057346,-0.312903,-3.496856,-9.099488
2.090178,-0.335200,-3.513167,-9.124179
2.123239,-0.304673,-3.525438,-9.152612
2.156861,-0.262923,-3.524690,-9.091557
2.190878,-0.321283,-3.556265,-9.074348
2.223247,-0.450126,-3.547136,-9.117445
2.256864,-0.411668,-3.523942,-9.096495
2.290177,-0.533926,-3.504787,-9.106671
2.324454,-0.719633,-3.472016,-9.105923
2.356890,-0.717688,-3.428470,-9.120887
2.390201,-0.886634,-3.365919,-9.118493
2.423281,-0.824832,-3.401085,-9.123581
2.456865,-0.704968,-3.425477,-9.128968
2.490178,-0.653042,-3.460643,-9.102481
2.523954,-0.508038,-3.488776,-9.108168
2.556792,-0.466138,-3.523642,-9.088115
2.590184,-0.383535,-3.553122,-9.119391
2.623225,-0.361837,-3.611782,-9.103678
2.657390,-0.287165,-3.654281,-9.053847
2.690883,-0.308115,-3.648445,-9.064472
2.723517,-0.344927,-3.630039,-9.058336
2.757224,-0.409722,-3.611034,-9.073002
2.790254,-0.535871,-3.562999,-9.082728
2.823519,-0.561760,-3.524091,-9.094999
2.856808,-0.548890,-3.490272,-9.100386
2.890128,-0.764227,-3.404227,-9.127920
2.924184,-0.646607,-3.413805,-9.109215
2.956725,-0.634785,-3.428021,-9.130165
2.990278,-0.615033,-3.474111,-9.137348
3.023465,-0.458506,-3.523343,-9.081531
3.057117,-0.426632,-3.555367,-9.085871
3.090202,-0.485292,-3.557462,-9.106073
3.123375,-0.431720,-3.547735,-9.097693
3.156834,-0.462995,-3.562999,-9.098590
3.190356,-0.423639,-3.590982,-9.094550
3.223913,-0.353606,-3.593825,-9.062975
3.256860,-0.461948,-3.562550,-9.085272
3.290613,-0.454017,-3.557462,-9.089163
3.323296,-0.405682,-3.562250,-9.074947
3.356868,-0.404635,-3.566889,-9.083327
3.390224,-0.377998,-3.583051,-9.064921
3.423699,-0.281478,-3.625100,-9.068512
3.456932,-0.200073,-3.666851,-9.086918
3.490222,-0.126149,-3.677924,-9.030952
3.523438,-0.029779,-3.702466,-9.079586
3.556873,-0.114028,-3.675530,-9.040529
3.590294,-0.110885,-3.625400,-9.078838
3.623519,-0.137073,-3.637970,-9.069709
3.656873,-0.190795,-3.580058,-9.079436
3.690706,-0.077066,-3.639616,-9.063873
3.722965,-0.089187,-3.647846,-9.080633
3.756863,-0.109239,-3.647696,-9.034244
3.790208,0.053273,-3.582602,-9.067914
3.823616,-0.213840,-3.558060,-9.118044
3.857018,-0.034867,-3.564495,-9.097992
3.890438,-0.068387,-3.558210,-9.070158
3.923218,-0.171341,-3.556115,-9.082429
3.956497,0.030378,-3.587540,-9.106522
3.990254,-0.032772,-3.639915,-9.067165
4.022901,-0.193638,-3.655478,-9.027211
4.056838,-0.029929,-3.673285,-9.051902
4.090100,-0.135577,-3.671639,-9.028707
4.123147,-0.159070,-3.699473,-9.055194
4.156849,-0.124054,-3.776988,-8.982318
4.190196,0.078862,-3.768159,-9.016137
4.223226,-0.035615,-3.744964,-9.028558
4.256904,0.083351,-3.746461,-9.092754
4.290182,0.083650,-3.689746,-9.056541
4.322953,-0.018406,-3.668646,-9.051752
4.357232,-0.015264,-3.666551,-9.065669
