time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
0.002477,0.097039,-0.017310,0.069332
0.052483,0.093760,-0.007688,0.029852
0.072483,0.088389,0.000865,0.004258
0.112482,0.092664,0.000853,0.009599
0.142482,0.093705,-0.008746,0.012751
0.172480,0.088276,-0.001250,-0.031013
0.212478,0.093691,-0.018344,0.019109
0.242477,0.091558,-0.023672,0.024423
0.262454,0.090402,-0.022587,-0.007625
0.302476,0.095883,-0.033292,0.057491
0.352447,0.093744,-0.025819,0.045780
0.372446,0.095920,-0.029032,0.064994
0.412445,0.093888,-0.026910,0.094923
0.442444,0.098058,-0.031172,0.070324
0.482469,0.095987,-0.036510,0.095938
0.502441,0.098061,-0.037572,0.078836
0.542455,0.096951,-0.039695,0.066004
0.572480,0.095840,-0.030085,0.039345
0.612471,0.091532,-0.019401,0.010556
0.642448,0.091535,-0.013001,0.004181
0.672477,0.090466,-0.008731,-0.002206
0.702476,0.093677,-0.007674,0.002072
0.732474,0.090539,-0.009810,0.023431
0.772474,0.095876,-0.020491,0.040466
0.802473,0.095918,-0.026898,0.061800
0.842457,0.096985,-0.035434,0.072438
0.872454,0.095891,-0.036494,0.063884
0.902453,0.095861,-0.032222,0.048949
0.932453,0.094731,-0.029009,0.023324
0.982465,0.092626,-0.023675,0.025491
1.012457,0.093714,-0.022614,0.031907
1.042463,0.093760,-0.025822,0.051122
1.082464,0.087359,-0.025805,0.046850
1.112463,0.055440,-0.019337,0.046893
1.142462,0.095861,-0.019422,0.034061
1.172461,0.102284,-0.020509,0.046875
1.202435,0.125720,-0.022697,0.053269
1.252465,0.094868,-0.016231,0.054380
1.282453,0.092761,-0.016230,0.061860
1.312452,0.093798,-0.015161,0.051181
1.342451,0.092737,-0.006626,0.042680
1.372449,0.092742,-0.002360,0.039498
1.412453,0.091656,-0.001288,0.030957
1.442452,0.092711,-0.001288,0.027751
1.472452,0.092722,-0.005557,0.036275
1.502450,0.093827,-0.014100,0.059734
1.542449,0.092772,-0.013032,0.061877
1.572448,0.095938,-0.018368,0.058642
1.602447,0.093807,-0.022630,0.062893
1.632446,0.095902,-0.026896,0.056458
1.672445,0.098031,-0.033300,0.063901
1.702444,0.098008,-0.035430,0.058547
1.732444,0.093735,-0.031151,0.048956
1.772418,0.093686,-0.027943,0.028673
1.802416,0.094666,-0.024731,-0.003364
1.842439,0.090384,-0.025784,-0.009779
1.882438,0.092565,-0.037531,0.021141
1.902438,0.094673,-0.042866,0.020043
1.942436,0.095729,-0.046067,0.021093
